Series,Issue,"Full Title","Variant Description",Publisher,"Release Date",Format,"Added Date",Creators
"Flash, Vol. 2",103,"What I Did For Love",,"DC Comics","May 09, 1995",Comic,"Feb 23, 2014","Michael Jan Friedman | Mark Waid | Roger Robinson"
"Flash, Vol. 2",104,"The Quickening",,"DC Comics","Jun 13, 1995",Comic,"Feb 23, 2014","Michael Jan Friedman | Mark Waid | Roger Robinson"
"Flash, Vol. 2",105,"Through A Glass Darkly",,"DC Comics","Jul 11, 1995",Comic,"Feb 23, 2014","Michael Jan Friedman | Mark Waid | Ron Lim"
"Flash, Vol. 2",106,"Back With A Vengeance",,"DC Comics","Aug 08, 1995",Comic,"Feb 23, 2014","Mark Waid | Oscar Jimenez | José Marzán, Jr."
"Flash, Vol. 2",107,"Underworld Unleashed - Fade To Black!",,"DC Comics","Sep 12, 1995",Comic,"Feb 23, 2014","Mark Waid | Oscar Jimenez | José Marzán, Jr."
"Flash, Vol. 2",109,"Dead Heat, Part 2: A Swiftly Tilting Planet",,"DC Comics","Nov 14, 1995",Comic,"Feb 23, 2014","Mark Waid | Oscar Jimenez | José Marzán, Jr."
"Flash, Vol. 2",110,"Dead Heat, Part 4: Cut To The Quick",,"DC Comics","Dec 12, 1995",Comic,"Feb 23, 2014","Mark Waid | Oscar Jimenez | José Marzán, Jr."
"Flash, Vol. 2",111,"Dead Heat, Finale: Godspeed",,"DC Comics","Jan 09, 1996",Comic,"Feb 23, 2014","Mark Waid | Oscar Jimenez | José Marzán, Jr."
"Flash, Vol. 2",112,"Future Perfect",,"DC Comics","Feb 13, 1996",Comic,"Feb 23, 2014","Mark Waid | Anthony Castrillo | Anibal Rodriguez"
"Flash, Vol. 2",113,"Race Against Time, Chapter 1: Wallyworld",,"DC Comics","Mar 27, 1996",Comic,"Feb 23, 2014","Mark Waid | Oscar Jimenez | Anthony Castrillo"
"Flash, Vol. 2",114,"Race Against Time, Chapter 2: Sibling Rivalry",,"DC Comics","Apr 25, 1996",Comic,"Feb 23, 2014","Mark Waid | Anthony Castrillo | Oscar Jimenez"
"Flash, Vol. 2",115,"Race Against Time, Chapter 3: Speed Metal",,"DC Comics","May 29, 1996",Comic,"Feb 23, 2014","Mark Waid | Oscar Jimenez | Jim Cheung"
"Flash, Vol. 2",116,"Race Against Time, Chapter 4: Flash Frozen",,"DC Comics","Jun 26, 1996",Comic,"Feb 23, 2014","Mark Waid | Oscar Jimenez | José Marzán, Jr."
"Flash, Vol. 2",117,"Race Against Time, Chapter 5: Double Team",,"DC Comics","Jul 31, 1996",Comic,"Feb 23, 2014","Mark Waid | Jim Cheung | John Nyberg"
"Flash, Vol. 2",118,"Race Against Time, Aftermath: Cold, Cold Heart",,"DC Comics","Aug 28, 1996",Comic,"Feb 23, 2014","Mark Waid | Brian Augustyn | Sergio Cariello"
"Flash, Vol. 2",119,"Final Night - Pray For The Dawn",,"DC Comics","Sep 25, 1996",Comic,"Feb 23, 2014","Mark Waid | Brian Augustyn | Paul Ryan"
"Flash, Vol. 2 Annual",7,"Elseworlds - The Wally West Story",,"DC Comics",1994,Comic,"Feb 23, 2014","Allan Gross | Mark Obie Wheatley | Ruben Diaz"
"Flash, Vol. 4",0A,,"Francis Manapul Regular Cover","DC Comics","Sep 26, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",1A,"The Flash","Francis Manapul Regular Cover","DC Comics","Sep 28, 2011",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",2A,"Think Fast","Francis Manapul Regular Cover","DC Comics","Oct 26, 2011",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",3A,"Lights Out","Francis Manapul Regular Cover","DC Comics","Nov 23, 2011",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",4A,"Mob Rule","Francis Manapul Regular Cover","DC Comics","Dec 28, 2011",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",5A,,"Francis Manapul Cover","DC Comics","Jan 25, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",6A,"Best Served Cold","Francis Manapul Regular Cover","DC Comics","Feb 22, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",7A,"Into The Light","Francis Manapul Regular Cover","DC Comics","Mar 28, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",8A,"The Speed Force","Francis Manapul Regular Cover","DC Comics","Apr 25, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",9A,Fear,"Francis Manapul Regular Cover","DC Comics","May 23, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",10A,"Weather Wizard","Francis Manapul Regular Cover","DC Comics","Jun 27, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato | Marcus To"
"Flash, Vol. 4",11A,"Slow Burn","Francis Manapul Regular Cover","DC Comics","Jul 25, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato | Marcus To"
"Flash, Vol. 4",12A,Flash,"Francis Manapul Regular Cover","DC Comics","Aug 22, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",13A,"Gorilla Warfare, Part 1: King Grodd","Francis Manapul Regular Cover","DC Comics","Oct 24, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",14A,"Gorilla Warfare, Part 2: Last Ape Standing",,"DC Comics","Nov 28, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",15A,"Gorilla Warfare, Part 3: Flash Forward","Francis Manapul Regular Cover","DC Comics","Jan 02, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato | Marcus To"
"Flash, Vol. 4",16A,"Gorilla Warfare, Part 4: Love And Sacrifice","Francis Manapul Regular Cover","DC Comics","Jan 30, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",17A,"Gorilla Warfare, Part 5: The Way Home",,"DC Comics","Feb 27, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",18A,"The Heroes' Journey",,"DC Comics","Mar 27, 2013",Comic,"Feb 23, 2014","Brian Buccellato | Marcio Takara"
"Flash, Vol. 4",19A,"The Stuff Of Heroes","Francis Manapul Regular Cover","DC Comics","Apr 24, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato | Marcio Takara"
"Flash, Vol. 4",20A,"Reverse, Part 1","Francis Manapul Regular Cover","DC Comics","May 22, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",21A,"Reverse, Part 2","Francis Manapul Regular Cover","DC Comics","Jun 26, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",22A,"Reverse, Part 3","Francis Manapul Regular Cover","DC Comics","Jul 24, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",23.1A,"Grodd In The Light","3D Cover","DC Comics","Sep 04, 2013",Comic,"Feb 23, 2014","Brian Buccellato | Chris Batista | Tom Nguyen"
"Flash, Vol. 4",23.2A,"Reverse Flash","3D Cover","DC Comics","Sep 11, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato | Scott Hepburn"
"Flash, Vol. 4",23.3A,"All For One","3D Cover","DC Comics","Sep 18, 2013",Comic,"Feb 23, 2014","Brian Buccellato | Patrick Zircher"
"Flash, Vol. 4",23A,"Reverse, Part 4",,"DC Comics","Aug 28, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",24A,"Reverse, Part 5","Francis Manapul Regular Cover","DC Comics","Oct 23, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato"
"Flash, Vol. 4",25A,"Zero Year - Starting Line",,"DC Comics","Nov 27, 2013",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato | Chris Sprouse"
"Flash, Vol. 4",26A,"Flash Out Of Water",,"DC Comics","Jan 01, 2014",Comic,"Mar 22, 2014","Christos N. Gage | Neil Googe"
"Flash, Vol. 4",27A,"History Lessons",,"DC Comics","Jan 29, 2014",Comic,"Mar 22, 2014","Brian Buccellato | Patrick Zircher"
"Flash, Vol. 4",28A,"Deadman Walking","Pasqual Ferry Regular Cover","DC Comics","Feb 26, 2014",Comic,"Mar 22, 2014","Brian Buccellato | Patrick Zircher"
"Flash, Vol. 4",29A,"Digging Up The Past",,"DC Comics","Mar 26, 2014",Comic,"May 03, 2014","Brian Buccellato | Agustin Padilla"
"Flash, Vol. 4",30A,,"Brett Booth Regular Cover","DC Comics","Apr 23, 2014",Comic,"May 03, 2014","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",31A,,"Regular Cover - Brett Booth","DC Comics","May 28, 2014",Comic,"Jun 12, 2014","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",32A,"Cold Call",,"DC Comics","Jun 25, 2014",Comic,"Jul 16, 2014","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",33A,"A Step Behind",,"DC Comics","Jul 23, 2014",Comic,"Sep 01, 2014","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",34A,,,"DC Comics","Aug 27, 2014",Comic,"Sep 01, 2014","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",35A,"Out Of Time",,"DC Comics","Oct 22, 2014",Comic,"Dec 13, 2015","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",35B,,"Monsters of the Month","DC Comics","Oct 22, 2014",Comic,"Dec 13, 2015",
"Flash, Vol. 4",36A,Castaways,,"DC Comics","Nov 26, 2014",Comic,"Aug 08, 2015","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",37A,"The Savage World of the Speed Force",,"DC Comics","Dec 24, 2014",Comic,"Aug 08, 2015","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",39A,"Power Loss",,"DC Comics","Feb 25, 2015",Comic,"Aug 08, 2015","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",40A,"The End Of The Road",,"DC Comics","Mar 25, 2015",Comic,"Jul 10, 2015","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",41A,Yellow,"Regular Cover - Brett Booth","DC Comics","Jun 24, 2015",Comic,"Aug 01, 2015","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",42A,"Blood is Thicker","Brett Booth Regular Cover","DC Comics","Jul 22, 2015",Comic,"Aug 01, 2015","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",43A,"Getting The Drop","Brett Booth Regular Cover","DC Comics","Aug 26, 2015",Comic,"Jan 11, 2017","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",44A,Bubble,"Brett Booth Regular Cover","DC Comics","Sep 23, 2015",Comic,"Jan 11, 2017","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",45A,Thunderdome,"Regular Brett Booth Cover","DC Comics","Oct 28, 2015",Comic,"Jan 11, 2017","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",46A,"End Of The Hunt","Brett Booth Regular Cover","DC Comics","Nov 25, 2015",Comic,"Jan 11, 2017","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",47A,Reunion,"Brett Booth Regular Cover","DC Comics","Dec 30, 2015",Comic,"Mar 19, 2016","Robert Venditti | Van Jensen | Brett Booth"
"Flash, Vol. 4",48A,"Public Enemy","Ivan Reis Regular Cover","DC Comics","Jan 10, 2016",Comic,"Mar 19, 2016","Robert Venditti | Van Jensen | Jesús Merino"
"Flash, Vol. 4",49A,"New Blood",,"DC Comics","Feb 24, 2016",Comic,"Mar 19, 2016","Robert Venditti | Van Jensen | Philippe Briones"
"Flash, Vol. 4",50A,"You're Under Arrest / WWFD?!","Ivan Reis Regular Cover","DC Comics","Apr 20, 2016",Comic,"Jun 09, 2016","Van Jensen | Jesús Merino | Joe Eisma"
"Flash, Vol. 4",51A,"Under the Gun","Regular Ivan Reis Cover","DC Comics","May 04, 2016",Comic,"Jun 09, 2016","Van Jensen | Joe Eisma | Gus Vazquez"
"Flash, Vol. 4",52A,"Full Stop",,"DC Comics","May 25, 2016",Comic,"Jun 09, 2016","Van Jensen | Jesús Merino"
"The Flash, Vol. 4 Annual",1,"United They Fall",,"DC Comics","Aug 29, 2012",Comic,"Feb 23, 2014","Francis Manapul | Brian Buccellato | Marcus To"
"The Flash, Vol. 4 Annual",2,"The Quick And The Green / Details","Francis Manapul Regular Cover","DC Comics","Jul 31, 2013",Comic,"Feb 23, 2014","Brian Buccellato | Nicole Dubuc | Cully Hamner"
"The Flash, Vol. 4 Annual",3,,,"DC Comics","Apr 30, 2014",Comic,"May 03, 2014","Robert Venditti | Van Jensen | Ron Frenz"
"The Flash, Vol. 4 Annual",4,"Creation Myths",,"DC Comics","Jul 29, 2015",Comic,"Aug 04, 2015","Van Jensen | Bong Dazo | Norm Rapmund"
"Flash, Vol. 5",3A,"Lightning Strikes Twice, Speed City","Regular Carmine Di Giandomenico Cover","DC Comics","Jul 27, 2016",Comic,"Jan 11, 2017","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",4A,"Lightning Strikes Twice, Teamwork","Regular Carmine Di Giandomenico Cover","DC Comics","Aug 10, 2016",Comic,"Jan 11, 2017","Joshua Williamson | Neil Googe"
"Flash, Vol. 5",5A,"Lightning Strikes Twice, Part Five: Barry Allen's Day Off","Regular Carmine Di Giandomenico Cover","DC Comics","Aug 24, 2016",Comic,"Jan 11, 2017","Joshua Williamson | Felipe Watanabe | Andrew Currie"
"Flash, Vol. 5",6A,Revenge,"Regular Carmine Di Giandomenico Cover","DC Comics","Sep 14, 2016",Comic,"Jan 11, 2017","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",7A,"No More Speedsters","Regular Carmine Di Giandomenico Cover","DC Comics","Sep 28, 2016",Comic,"Jan 11, 2017","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",8A,"Old Friends","Regular Carmine Di Giandomenico Cover","DC Comics","Oct 12, 2016",Comic,"Jan 11, 2017","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",9A,"Kid Flash of Two Worlds","Regular Carmine Di Giandomenico Cover","DC Comics","Oct 26, 2016",Comic,"Jan 11, 2017","Joshua Williamson | Jorge Corona"
"Flash, Vol. 5",10A,"The Speed of Darkness, Part One","Regular Carmine Di Giandomenico Cover","DC Comics","Nov 09, 2016",Comic,"Feb 25, 2017","Joshua Williamson | Felipe Watanabe | Oclair Albert"
"Flash, Vol. 5",11A,"The Speed of Darkness, Part Two","Regular Carmine Di Giandomenico Cover","DC Comics","Nov 23, 2016",Comic,"Feb 25, 2017","Joshua Williamson | Davide Gianfelice"
"Flash, Vol. 5",12A,"The Speed of Darkness, Part Three","Regular Carmine Di Giandomenico Cover","DC Comics","Dec 14, 2016",Comic,"Feb 25, 2017","Joshua Williamson | Davide Gianfelice"
"Flash, Vol. 5",13A,"Date Night","Regular Carmine Di Giandomenico Cover","DC Comics","Dec 28, 2016",Comic,"Jun 09, 2017","Joshua Williamson | Neil Googe"
"Flash, Vol. 5",14A,"Rogues Reloaded, Part One","Carmine Di Giandomenico Regular Cover","DC Comics","Jan 11, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",15A,"Rogues Reloaded, Part Two","Regular Carmine Di Giandomenico Cover","DC Comics","Jan 25, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",16A,"Rogues Reloaded, Part Three","Regular Carmine Di Giandomenico Cover","DC Comics","Feb 08, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",17A,"Rogues Reloaded, Rogues Reloaded Part Four","Regular Carmine Di Giandomenico Cover","DC Comics","Feb 22, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Neil Googe | Davide Gianfelice"
"Flash, Vol. 5",18A,"Sins of the Father, Part One","Regular Carmine Di Giandomenico Cover","DC Comics","Mar 08, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Jesús Merino | Andy Owens"
"Flash, Vol. 5",19A,"Sins of the Father, Part Two","Regular Carmine Di Giandomenico Cover","DC Comics","Mar 22, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Jesús Merino | Carmine Di Giandomenico"
"Flash, Vol. 5",20A,"Agent of Black Hole","Regular Carmine Di Giandomenico Cover","DC Comics","Apr 12, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Neil Googe"
"Flash, Vol. 5",21A,"The Button - The Button, The Button Part Two","Lenticular Cover","DC Comics","Apr 26, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",22A,"The Button - The Button, The Button Part Four","Lenticular Cover","DC Comics","May 17, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",23A,"Color of Fear","Regular Carmine Di Giandomenico Cover","DC Comics","May 31, 2017",Comic,"Jun 09, 2017","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",24A,"Color of Fear, Part Two: Run For Your Life","Regular Carmine Di Giandomenico Cover","DC Comics","Jun 14, 2017",Comic,"Jul 02, 2017","Joshua Williamson | Pop Mhan | Carmine Di Giandomenico"
"Flash, Vol. 5",25A,"Running Scared, Part One","Regular Carmine Di Giandomenico Cover","DC Comics","Jun 28, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Neil Googe | Ryan Sook"
"Flash, Vol. 5",26A,"Running Scared, Part Two","Carmine Di Giandomenico Regular Cover","DC Comics","Jul 12, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",27A,"Running Scared, Conclusion","Carmine Di Giandomenico Regular Cover","DC Comics","Jul 26, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Paul Pelletier | Howard Porter"
"Flash, Vol. 5",28A,"Negative, Part One","Regular Carmine Di Giandomenico Cover","DC Comics","Aug 09, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",29A,"Negative, Part Two","Googe & Plascencia Cover","DC Comics","Aug 23, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Pop Mhan | Christian Duce"
"Flash, Vol. 5",30A,"Bloodwork, Part One","Neil Googe Regular Cover","DC Comics","Sep 13, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Neil Googe"
"Flash, Vol. 5",31A,"Blood Work, Finale","Regular Carmine Di Giandomenico Cover","DC Comics","Sep 27, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Neil Googe | Gus Vazquez"
"Flash, Vol. 5",32A,"Welcome To Iron Heights","Regular Kelley Jones Cover","DC Comics","Oct 11, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Christian Duce"
"Flash, Vol. 5",33A,"Metal - Bats Out of Hell, Bats Out of Hell Part 1","Ethan Van Sciver Connecting Regular Cover","DC Comics","Oct 25, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",34A,"Black Hole Rising, Part One","Regular Neil Googe Cover","DC Comics","Nov 08, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Michael Moreci | Pop Mhan"
"Flash, Vol. 5",35A,"Black Hole Rising, Part Two","Neil Googe Regular Cover","DC Comics","Nov 22, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Michael Moreci | Pop Mhan"
"Flash, Vol. 5",36A,"A Cold Day In Hell","Regular Barry Kitson Cover","DC Comics","Dec 13, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",37A,"A Cold Day In Hell, Part Two","Regular Barry Kitson Cover","DC Comics","Dec 27, 2017",Comic,"Jan 26, 2018","Joshua Williamson | Scott McDaniel | Mick Gray"
"Flash, Vol. 5",38A,"A Cold Day In Hell, Finale","Regular Barry Kitson Cover","DC Comics","Jan 10, 2018",Comic,"Jan 26, 2018","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",39A,"Perfect Storm, Part 1","Regular Carmine Di Giandomenico Cover","DC Comics","Jan 24, 2018",Comic,"May 05, 2018","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",40A,"Perfect Storm, Part Two","Regular Carmine Di Giandomenico Cover","DC Comics","Feb 14, 2018",Comic,"May 05, 2018","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",41A,"Perfect Storm, Part Three","Regular Carmine Di Giandomenico Cover","DC Comics","Feb 28, 2018",Comic,"May 05, 2018","Joshua Williamson | Carlos D'Anda"
"Flash, Vol. 5",42A,"Perfect Storm, Perfect Storm Part Four","Regular Carmine Di Giandomenico Cover","DC Comics","Mar 14, 2018",Comic,"May 05, 2018","Joshua Williamson | Dan Panosian"
"Flash, Vol. 5",43A,"Perfect Storm, Part Five","Regular Carmine Di Giandomenico Cover","DC Comics","Mar 28, 2018",Comic,"May 05, 2018","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",44A,"Perfect Storm, Finale","Regular Carmine Di Giandomenico Cover","DC Comics","Apr 11, 2018",Comic,"May 05, 2018","Joshua Williamson | Carmine Di Giandomenico"
"Flash, Vol. 5",45A,"After The Storm","Regular Barry Kitson Cover","DC Comics","Apr 25, 2018",Comic,"May 05, 2018","Joshua Williamson | Christian Duce"
"Flash, Vol. 5",46A,"Road to Flashwar","Regular Dan Panosian Cover","DC Comics","May 09, 2018",Comic,"May 15, 2018","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",47A,,"Regular Howard Porter Cover","DC Comics","May 23, 2018",Comic,"May 25, 2018","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",48A,"Flash War, Part 2","Regular Howard Porter Cover","DC Comics","Jun 13, 2018",Comic,"Jun 18, 2018","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",49A,"Flash War, Part 3","Regular Howard Porter Cover","DC Comics","Jun 27, 2018",Comic,"Jul 12, 2018","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",50A,,"Regular Howard Porter Cover","DC Comics","Jul 11, 2018",Comic,"Jul 15, 2018","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",51A,"Flash War, The Life Story of Wally West","Regular Howard Porter Cover","DC Comics","Jul 25, 2018",Comic,"Jan 19, 2019","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",52A,"Grips of Strength, Part 1","Regular Dan Mora Cover","DC Comics","Aug 08, 2018",Comic,"Jan 19, 2019","Joshua Williamson | Christian Duce"
"Flash, Vol. 5",53A,"Grips of Strength, Part 2","Regular Dan Mora Cover","DC Comics","Aug 22, 2018",Comic,"May 04, 2019","Joshua Williamson | Christian Duce"
"Flash, Vol. 5",54A,"Grips of Strength, Conclusion","Regular Dan Mora Cover","DC Comics","Sep 12, 2018",Comic,"May 04, 2019","Joshua Williamson | Christian Duce"
"Flash, Vol. 5",55A,,"Regular Dan Mora Cover","DC Comics","Sep 26, 2018",Comic,"May 04, 2019","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",56A,"Faster Than Thought, Part 2. Burn, Baby, Burn","Regular Dan Panosian Enhanced Foil Cover","DC Comics","Oct 10, 2018",Comic,"May 04, 2019","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",57A,"Faster Than Thought, Conclusion. The Last Embers","Regular Dan Mora Cover","DC Comics","Oct 24, 2018",Comic,"May 04, 2019","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",58A,"Force Quest, Part One","Regular Rafa Sandoval & Jordi Tarragona Cover","DC Comics","Nov 14, 2018",Comic,"May 04, 2019","Joshua Williamson | Rafa Sandoval | Jordi Tarragona"
"Flash, Vol. 5",59A,"Force Quest, Part Two","Regular Rafa Sandoval & Jordi Tarragona Cover","DC Comics","Nov 28, 2018",Comic,"May 04, 2019","Joshua Williamson | Rafa Sandoval | Scott Hanna"
"Flash, Vol. 5",60A,"Force Quest, Part Three","Regular Rafa Sandoval & Jordi Tarragona Cover","DC Comics","Dec 12, 2018",Comic,"May 04, 2019","Joshua Williamson | Rafa Sandoval | Jordi Tarragona"
"Flash, Vol. 5",61A,"Force Quest, Part Four","Regular David Yardin Cover","DC Comics","Jan 02, 2019",Comic,"May 04, 2019","Joshua Williamson | Christian Duce"
"Flash, Vol. 5",62A,"Force Quest, Part 5","Regular David Yardin Cover","DC Comics","Jan 16, 2019",Comic,"May 04, 2019","Joshua Williamson | Christian Duce"
"Flash, Vol. 5",63A,"Force Quest, Conclusion","Regular Rafa Sandoval & Jordi Tarragona Cover","DC Comics","Jan 30, 2019",Comic,"May 04, 2019","Minkyu Jung"
"Flash, Vol. 5",64A,"The Price, Part 2","Regular Chris Burnham Cover","DC Comics","Feb 13, 2019",Comic,"May 04, 2019","Joshua Williamson | Rafa Sandoval | Jordi Tarragona"
"Flash, Vol. 5",65A,"The Price - The Price, The Price Of Loyalty","Regular Chris Burnham Cover","DC Comics","Feb 27, 2019",Comic,"May 04, 2019","Joshua Williamson | Rafa Sandoval | Jordi Tarragona"
"Flash, Vol. 5",66A,"Rogue Profile: Trickster - Afraid of Iron Heights?","Regular Rafa Sandoval & Jordi Tarragona Cover","DC Comics","Mar 13, 2019",Comic,"Jun 29, 2019","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",67A,"The Greatest Trick of All, Part 1","Regular Rafa Sandoval & Jordi Tarragona Cover","DC Comics","Mar 27, 2019",Comic,"Jun 29, 2019","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",68A,"The Greatest Trick of All, Part 2","Regular Dan Mora Cover","DC Comics","Apr 10, 2019",Comic,"Jun 29, 2019","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",69A,"the Greatest Trick Of All, Finale","Regular Dan Mora Cover","DC Comics","Apr 24, 2019",Comic,"Jun 29, 2019","Joshua Williamson | Scott Kolins"
"Flash, Vol. 5",70A,"Year One, Chapter One: He Will Be The Fastest Man Alive","Regular Howard Porter Cover","DC Comics","May 08, 2019",Comic,"Jun 29, 2019","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",71A,"Year One, Chapter 2: The Flash of Two Timelines","Regular Howard Porter Cover","DC Comics","May 22, 2019",Comic,"Jul 12, 2019","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",72A,"Year One, Slowest Man Alive","Regular Howard Porter Cover","DC Comics","Jun 12, 2019",Comic,"Jun 29, 2019","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",73A,,"Regular Howard Porter Cover","DC Comics","Jun 26, 2019",Comic,"Jun 29, 2019","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",74A,"Year One, Crossroads","Regular Howard Porter Cover","DC Comics","Jul 10, 2019",Comic,"Jul 18, 2019","Joshua Williamson | Howard Porter"
"Flash, Vol. 5",75A,,"Regular Howard Porter Cover","DC Comics","Jul 24, 2019",Comic,"Jul 25, 2019","Joshua Williamson | Howard Porter | Scott Kolins"
"Flash, Vol. 5",76A,,,"DC Comics","Aug 14, 2019",Comic,"Aug 15, 2019","Joshua Williamson | Rafa 'Rafael' Sandoval | Jordi Tarragona"
